"n","Array","Binet1","Binet2","Iterative","Recursive","Recursive1","Recursive2","Hybrid"
Created:  2021-04-04T04:55:42Z  Fibonacci:  1.0.1
1,272.7,529.5,531.2,247.2,243.8,241.6,244.9,269.1
2,260.4,552.6,529.8,622.4,242.1,241.3,243.6,268.9
3,260.8,526.0,524.3,890.5,287.9,241.8,243.0,270.0
4,260.3,522.6,529.2,1134.4,330.4,243.3,243.3,270.3
5,262.5,535.5,534.2,1385.0,419.6,244.1,567.3,269.5
6,260.4,520.7,531.2,1639.8,548.8,243.2,590.7,269.2
7,260.1,528.5,532.4,1899.2,782.1,243.8,571.2,269.4
8,261.6,548.2,541.7,2242.1,1163.8,255.5,607.9,281.5
9,271.7,526.1,530.9,2422.1,1742.9,244.8,904.6,270.4
10,260.3,517.5,526.8,2686.9,2661.7,244.6,1002.7,269.9
11,260.1,520.2,539.2,2960.9,4180.8,324.5,1282.5,269.5
12,260.3,533.9,539.3,3203.8,6657.1,353.4,1380.6,269.7
13,263.0,528.1,533.8,3439.8,10645.0,352.0,1276.6,267.1
14,258.0,522.7,535.2,3723.8,17108.3,422.5,1308.2,269.8
15,260.5,544.6,535.2,3980.0,27517.5,357.8,1302.3,269.2
16,271.5,539.0,547.5,4365.3,44681.2,355.5,1323.6,280.7
17,261.0,545.5,536.7,4660.9,71760.4,427.6,1627.8,269.4
18,265.4,523.2,527.5,4910.9,115910.0,355.6,1739.5,270.7
19,260.8,552.2,545.2,5190.2,190728.3,356.3,2051.7,268.1
20,260.5,544.4,528.0,5381.2,,410.0,2070.2,269.7
21,264.1,543.2,529.2,5645.3,,439.0,2392.2,269.9
22,260.3,552.0,625.3,5933.0,,549.3,2413.2,268.6
23,260.8,538.3,536.1,6125.0,,627.4,2721.2,270.2
24,260.2,526.7,522.8,6390.5,,628.7,2802.0,268.9
25,260.2,517.2,552.1,6666.5,,684.0,2807.1,277.6
26,260.3,525.6,524.8,6919.5,,656.4,2803.7,268.8
27,260.3,519.0,522.1,7187.1,,655.0,2683.7,269.9
28,260.4,515.0,529.9,7454.8,,661.2,2805.5,269.8
29,260.2,527.3,526.7,7706.1,,659.8,2783.8,269.4
30,260.7,530.4,526.6,7982.9,,648.6,2806.1,273.1
31,260.2,545.4,535.8,8293.0,,743.2,2778.6,268.9
32,260.3,524.2,526.0,8633.4,,910.5,2828.8,270.6
33,260.5,525.5,538.7,8900.0,,1054.6,3053.0,269.2
34,260.5,539.3,534.9,9211.1,,1127.2,3127.6,269.3
35,260.2,529.8,525.0,9481.0,,1217.0,3449.7,268.8
36,260.2,516.2,522.5,9750.3,,1176.6,3519.8,268.9
37,266.3,542.6,533.8,10367.5,,1144.8,3851.5,281.0
38,271.5,534.1,533.8,10623.2,,1199.8,3874.9,280.7
39,271.8,528.9,544.3,10911.3,,1159.9,4242.5,269.4
40,260.2,519.8,518.4,10776.8,,1203.5,4261.9,744.5
41,260.1,517.3,521.2,11039.2,,1307.3,4574.5,646.7
42,260.4,503.3,515.4,11218.2,,1500.1,4631.1,742.2
43,260.1,516.3,522.5,11522.9,,1881.4,4891.6,647.4
44,260.0,551.5,518.0,11876.4,,2123.2,4907.3,670.4
45,259.9,514.5,518.0,12009.6,,2218.7,5241.5,651.1
46,260.0,508.2,514.8,12395.6,,2261.1,5269.1,671.6
47,260.1,544.7,529.0,12698.0,,2250.9,5616.7,648.7
48,260.3,511.8,507.1,12955.9,,2254.5,5700.9,743.6
49,260.2,524.9,510.0,13189.9,,2232.7,5634.3,659.6
50,259.9,507.2,512.3,13541.0,,2302.8,5747.8,766.7
51,260.2,523.9,525.0,13806.9,,2412.7,5646.5,665.5
52,259.9,518.7,529.0,14074.8,,2706.1,5703.1,697.0
53,260.2,516.5,522.7,14347.4,,3330.6,5608.6,665.2
54,260.2,526.5,524.1,14623.4,,3845.3,5636.9,697.2
55,260.1,522.8,520.5,14854.1,,4260.4,5588.9,667.6
56,260.2,505.8,510.8,15164.6,,4374.6,5643.7,699.1
57,260.2,506.3,515.6,15439.2,,4350.9,5680.3,668.4
58,259.9,517.6,509.8,15693.1,,4361.0,5733.0,754.8
59,260.2,517.4,517.1,15850.2,,4373.8,5724.3,719.7
60,260.0,516.0,519.0,16181.8,,4407.3,5727.4,750.5
61,260.0,505.6,509.6,16559.3,,4566.0,5726.5,735.0
62,260.0,503.7,507.9,16820.0,,4987.1,5768.0,785.1
63,260.0,504.9,510.0,17050.4,,5819.3,5734.7,669.3
64,260.1,504.5,510.5,17427.5,,6989.1,5771.7,700.4
65,260.0,504.9,503.8,17707.7,,8031.2,6024.9,668.7
66,259.9,499.7,509.3,17856.0,,8449.4,6050.1,697.4
67,260.5,498.3,522.2,18228.6,,8581.2,6220.6,669.0
68,260.9,499.4,502.9,18482.0,,8639.4,6275.9,700.6
69,260.3,503.4,501.1,18647.4,,8574.0,6615.3,669.5
70,260.9,,,18981.2,,,6756.4,765.4
71,260.2,,,19264.7,,,7065.0,669.3
72,260.0,,,19542.0,,,7136.4,780.4
73,260.4,,,19693.7,,,7403.1,672.9
74,259.9,,,20119.2,,,7429.8,706.2
75,260.1,,,20363.4,,,7742.2,678.3
76,259.9,,,20706.0,,,7783.1,707.5
77,260.3,,,21055.0,,,8134.6,676.9
78,260.3,,,21327.6,,,8237.7,769.5
79,260.1,,,21643.7,,,8556.5,1155.1
80,260.6,,,21869.1,,,8587.9,1238.1
81,260.9,,,22166.5,,,8897.4,1546.6
82,260.3,,,22303.5,,,8900.2,1578.3
83,260.0,,,22723.8,,,9225.7,1542.4
84,260.4,,,22808.5,,,9234.0,1564.6
85,259.9,,,23104.5,,,9570.8,1529.5
86,261.1,,,23454.9,,,9587.6,1572.3
87,262.3,,,23650.6,,,9852.6,1470.5
88,260.3,,,24011.9,,,9895.9,1580.7
89,260.2,,,24231.8,,,10231.5,1529.2
90,261.1,,,24511.4,,,10251.1,1573.1
91,260.4,,,24729.0,,,10606.3,1528.4
92,260.1,,,25292.5,,,10623.3,1615.3
93,259.9,,,25569.7,,,10969.7,1470.0
94,260.2,,,25645.0,,,10973.4,1512.4
95,260.9,,,26152.0,,,11365.4,1581.8
96,260.8,,,26295.8,,,11431.9,1618.5
97,261.0,,,26613.8,,,11430.7,1605.0
98,260.5,,,26702.5,,,11459.8,1637.4
99,260.7,,,26993.8,,,11424.6,1594.6
100,260.1,,,27447.9,,,11524.2,1690.3
101,260.0,,,27899.5,,,11470.0,1624.7
102,276.7,,,29260.7,,,11815.6,1725.3
103,263.5,,,28238.3,,,11436.8,1556.1
104,262.1,,,28404.0,,,11540.4,1577.4
105,260.4,,,28908.7,,,11392.0,1553.7
106,260.3,,,29226.2,,,11447.9,1586.4
107,260.4,,,29388.3,,,11357.8,1542.8
108,261.3,,,29850.2,,,11496.6,1661.5
109,270.4,,,31253.4,,,11352.6,1570.6
110,260.2,,,30349.2,,,11435.2,1659.1
111,260.0,,,30645.2,,,11443.1,1548.0
112,260.3,,,30862.4,,,11429.0,1585.1
113,260.2,,,31077.3,,,11434.9,1551.2
114,260.9,,,31480.0,,,11475.2,1579.2
115,260.1,,,31482.3,,,11494.3,1620.3
116,260.4,,,31747.0,,,11482.6,1643.1
117,260.3,,,32219.0,,,11598.6,1658.3
118,260.8,,,32470.4,,,11632.1,1747.6
119,260.2,,,32703.5,,,11599.8,1685.0
120,259.9,,,33097.0,,,11589.4,1705.7
121,260.8,,,33415.1,,,11671.9,1705.6
122,260.9,,,33772.0,,,11645.7,1776.2
123,260.6,,,33874.9,,,11689.3,1690.5
124,260.4,,,34160.5,,,11588.0,1715.4
125,260.4,,,34427.3,,,11656.4,1664.4
126,260.0,,,34992.5,,,11630.7,1710.2
127,260.3,,,34997.3,,,11572.3,1564.5
128,260.2,,,35454.4,,,11609.6,1594.3
129,260.2,,,35675.2,,,11880.4,1566.2
130,260.8,,,35976.9,,,12056.0,1683.1
131,260.9,,,36127.2,,,12164.1,1563.4
132,261.5,,,36481.8,,,12334.8,1666.2
133,261.3,,,36762.8,,,12453.4,1570.2
134,260.6,,,37306.3,,,12474.5,1598.7
135,260.9,,,37364.7,,,12673.3,1582.2
136,261.2,,,37793.3,,,12786.8,1597.0
137,261.1,,,38116.0,,,13022.3,1569.1
138,261.2,,,38450.1,,,13190.4,1682.1
139,260.9,,,38438.1,,,13482.0,1624.6
140,260.2,,,39019.1,,,13592.5,1761.3
141,260.4,,,39294.0,,,13909.8,1663.9
142,261.1,,,39423.4,,,13984.2,1702.1
143,260.3,,,39887.7,,,14328.3,1702.7
144,260.8,,,39870.6,,,14356.9,1734.2
145,260.7,,,40301.8,,,14696.1,1701.0
146,261.7,,,40845.4,,,14704.0,1728.4
147,260.4,,,40902.1,,,14968.0,1631.1
148,260.2,,,41183.7,,,15046.9,1735.6
149,260.0,,,41531.8,,,15360.5,1670.5
150,260.1,,,41789.0,,,15404.6,1732.9
151,260.5,,,42203.2,,,15744.3,1692.7
152,260.3,,,42570.8,,,15826.2,1767.0
153,260.0,,,42872.0,,,16076.9,1635.9
154,260.1,,,43196.2,,,16107.3,1683.1
155,260.1,,,43490.8,,,16492.6,1699.5
156,260.1,,,43678.0,,,16514.9,1752.4
157,260.5,,,43979.1,,,16904.6,2164.0
158,260.2,,,44238.1,,,16924.0,2206.8
159,260.0,,,44572.9,,,17294.9,2643.0
160,260.2,,,44873.9,,,17369.6,2722.4
161,260.2,,,45197.0,,,17647.5,3028.5
162,260.1,,,45462.1,,,17737.1,3112.1
163,260.0,,,45698.3,,,17997.2,3350.4
164,260.2,,,45802.8,,,17997.4,3400.1
165,271.8,,,47877.0,,,18340.6,3339.5
166,260.1,,,46478.9,,,18312.4,3391.5
167,260.9,,,47055.2,,,18626.9,3354.4
168,259.9,,,47125.4,,,18688.0,3447.5
169,261.0,,,47635.6,,,18963.4,3346.8
170,260.2,,,48003.0,,,19053.3,3466.4
171,260.2,,,48066.6,,,19314.6,3360.0
172,260.9,,,48570.8,,,19343.8,3395.2
173,261.0,,,48802.6,,,19599.7,3313.5
174,260.8,,,49111.8,,,19637.3,3349.9
175,260.9,,,49444.4,,,19888.7,3305.8
